index,COMM_CODE,CLASS,CLASS_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CREATED_DT,MODIFIED_DT,RE_VALUE,RE_AREA,RE_UNIT_PRICE,NR_VALUE,NR_AREA,NR_UNIT_PRICE,FL_VALUE,FL_AREA,FL_UNIT_PRICE,attaction,commu_center,court,elementary,hospital,juniorhigh,library,phs_clinic,seniorhigh,social_dev_ctr,visitor_info,MALE,FEMALE,English,Eng_not_spk_oft_home,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,total_crime_counts,total_disorder_counts
66,HPK,Residential,1,"HIGHLAND PARK",CENTRE,ESTABLISHED,1950s,2016/12/21,2023/01/12,524506.255585344,462.94200178731006,1132.984809242516,2835178.589285714,7999.107142857143,354.43688134836475,NULL,NULL,NULL,0,1,0,1,0,0,0,0,1,0,0,"2,401.00","2,323.00",3250,585,4724,Cantonese,225,0.06,Mandarin,60,0.01,"Tagalog (Pilipino, Filipino)",45,0.01,204,481
68,CRE,Residential,1,"CRESCENT HEIGHTS",CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/01/12,738938.2911392405,432.9371308016878,1706.8027631885434,2600529.7983870967,3339.1927419354843,778.7899649301947,NULL,NULL,NULL,0,1,0,0,0,1,0,0,2,0,0,"3,231.00","3,302.00",5025,630,6533,Cantonese,150,0.03,Mandarin,60,0.01,Arabic,30,0.01,401,791
75,GBK,Residential,1,GLENBROOK,WEST,ESTABLISHED,1950s,2016/12/21,2023/01/16,536729.4038847957,458.2609511051574,1171.2309385960143,3970135.714285714,10477.45,378.9219432481867,NULL,NULL,NULL,0,1,0,2,0,2,0,0,1,0,0,"6,735.00","6,628.00",5930,900,13363,"Tagalog (Pilipino, Filipino)",140,0.02,Arabic,100,0.01,Korean,90,0.01,204,384
78,GDL,Residential,1,GLENDALE,WEST,ESTABLISHED,1950s,2016/12/21,2023/01/16,605174.7835497835,621.0451298701298,974.4457438645964,2708953.125,11673.515625,232.0597506374606,NULL,NULL,NULL,0,1,0,3,0,1,0,0,0,0,0,"1,006.00","1,115.00",2545,255,2121,"Tagalog (Pilipino, Filipino)",80,0.03,Spanish,45,0.02,Polish,30,0.01,95,333
83,KIL,Residential,1,KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,1950s,2016/12/21,2023/01/16,648705.5322128851,383.9591036414566,1689.5172586366136,1529812.5,4085.1069444444447,374.4853000924428,NULL,NULL,NULL,0,1,0,2,0,0,0,0,0,0,0,"2,100.00","2,173.00",6505,685,4273,Spanish,120,0.02,"Tagalog (Pilipino, Filipino)",75,0.01,Russian,50,0.01,285,659
85,HIL,Residential,1,HILLHURST,CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/01/17,769765.2281368822,380.50427756654,2023.0133365643203,4514533.755274261,5690.264978902954,793.3784756970376,NULL,NULL,NULL,1,1,0,2,0,1,0,0,1,0,0,"7,479.00","6,721.00",4900,405,14200,Arabic,75,0.01,Spanish,70,0.01,Mandarin,40,0.01,462,896
92,DAL,Residential,1,DALHOUSIE,NORTHWEST,ESTABLISHED,1960s/1970s,2016/12/21,2023/01/17,517249.2049068605,650.8117219445706,794.7754895399909,2679649.491525424,9243.805084745763,289.8859795245373,NULL,NULL,NULL,0,1,0,3,0,1,0,0,0,0,0,"6,284.00","6,342.00",6825,1630,12626,Mandarin,480,0.05,Cantonese,195,0.02,"Tagalog (Pilipino, Filipino)",130,0.01,186,359
101,EYA,Residential,1,ELBOYA,CENTRE,ESTABLISHED,1950s,2016/12/21,2023/01/18,1152937.113402062,630.6876288659794,1828.0636255306351,1716648.2758620689,7174.886206896552,239.2579096532589,NULL,NULL,NULL,0,1,0,2,0,2,0,0,1,0,0,"1,386.00","1,716.00",1460,130,3102,Portuguese,45,0.03,Marathi,15,0.01,Japanese,10,0.01,68,105
108,DNC,Residential,1,"DOWNTOWN COMMERCIAL CORE",CENTRE,ESTABLISHED,"CENTRE CITY",2016/12/21,2023/01/19,NULL,NULL,NULL,44999535.74074074,3081.3381766381767,14603.893880235,NULL,NULL,NULL,10,0,9,0,0,0,0,0,0,0,3,"6,337.00","7,009.00",4230,2535,13346,Mandarin,260,0.03,Arabic,205,0.03,"Tagalog (Pilipino, Filipino)",200,0.03,1662,5402
113,HAY,Residential,1,HAYSBORO,SOUTH,ESTABLISHED,1950s,2016/12/21,2023/03/02,483226.872246696,570.2036343612335,847.4636833699375,3807914.731182796,7805.19247311828,487.8694208115386,NULL,NULL,NULL,0,1,0,4,0,3,0,0,1,0,0,719,687,6020,795,1406,Mandarin,115,0.02,Spanish,85,0.01,"Tagalog (Pilipino, Filipino)",75,0.01,283,898
120,FAI,Residential,1,FAIRVIEW,SOUTH,ESTABLISHED,1950s,2016/12/21,2023/03/06,421333.2006369427,525.0164012738853,802.5143588174225,2469719.6153846155,6389.319230769231,386.5387729401773,NULL,NULL,NULL,0,1,0,2,0,1,0,0,0,0,0,"2,235.00","2,337.00",3115,405,4572,"Tagalog (Pilipino, Filipino)",150,0.04,Cantonese,25,0.01,Spanish,25,0.01,115,280
