COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
HAY,Residential,847.4636834,0,1,0.000146735,0,0,0,0.000733676,0,719,687,6020,795,0.883345561,6815,Mandarin,115,0.02,Spanish,85,0.01,"Tagalog (Pilipino, Filipino)",75,0.01,0.041526045,0.131768158
FAI,Residential,802.5143588,0,1,0.000284091,0,0,0,0.000852273,0,"2,235.00","2,337.00",3115,405,0.884943182,3520,"Tagalog (Pilipino, Filipino)",150,0.04,Cantonese,25,0.01,Spanish,25,0.01,0.032670455,0.079545455
EPK,Residential,2242.348329,0,1,0.000291121,0,0,0,0.000873362,0,"1,318.00","1,376.00",3370,65,0.981077147,3435,Mandarin,15,0,Cantonese,10,0,Japanese,10,0,0.02125182,0.030567686
FLN,Residential,581.6422713,0,1,0.000146628,0,1,1,0.00058651,1,"1,901.00","2,059.00",5460,1360,0.80058651,6820,Vietnamese,250,0.03,Arabic,205,0.03,"Tagalog (Pilipino, Filipino)",185,0.02,0.07829912,0.318035191
HOU,Residential,1697.121132,0,1,0.000434783,0,1,1,0.000869565,0,605,420,2115,185,0.919565217,2300,Mandarin,50,0.02,Cantonese,30,0.01,Portuguese,25,0.01,0.07826087,0.202608696
GAW,Residential,1990.797135,1,0,0,0,0,0,0.001113173,0,"3,114.00","3,113.00",2570,125,0.953617811,2695,Spanish,25,0.01,0,0,0,0,0,0,0.00742115,0.001855288
ING,Residential,1397.608588,1,1,0.000267738,0,0,0,0.000803213,0,"1,205.00","1,250.00",3620,115,0.969210174,3735,Spanish,20,0.01,Mandarin,15,0,Urdu,15,0,0.04605087,0.147791165
DDG,Residential,978.525348,0,0,0,0,1,0,0.000246103,0,"2,941.00","2,883.00",10790,1400,0.885151764,12190,Spanish,255,0.02,"Tagalog (Pilipino, Filipino)",170,0.01,Cantonese,120,0.01,0.01509434,0.020918786
FHT,Residential,631.4603644,0,1,0.000176367,0,0,0,0.000352734,0,"4,244.00","3,559.00",4000,1670,0.705467372,5670,"Tagalog (Pilipino, Filipino)",485,0.08,Vietnamese,265,0.04,Arabic,170,0.03,0.041798942,0.137389771
DOV,Residential,708.0160849,0,1,9.84737E-05,0,0,0,0.000689316,0,"1,547.00","1,648.00",8775,1380,0.864106352,10155,Vietnamese,325,0.03,"Tagalog (Pilipino, Filipino)",185,0.02,Arabic,145,0.01,0.036041359,0.113934023
ERI,Residential,871.7996585,0,1,0.000151745,0,0,0,0.00030349,0,"1,365.00","1,397.00",5120,1470,0.77693475,6590,Vietnamese,575,0.08,"Tagalog (Pilipino, Filipino)",310,0.04,Dinka,85,0.01,0.03262519,0.064643399
KEL,Residential,1193.082232,0,1,0.000519481,0,0,0,0.002077922,0,"3,125.00","3,283.00",1700,225,0.883116883,1925,Spanish,45,0.02,Mandarin,35,0.02,Persian (Farsi),20,0.01,0.047792208,0.084675325
FAL,Residential,795.6119345,0,1,0.000103413,0,0,0,0.000517063,0,"1,091.00","1,168.00",6085,3585,0.62926577,9670,Punjabi (Panjabi),845,0.08,Urdu,420,0.04,"Tagalog (Pilipino, Filipino)",350,0.03,0.038779731,0.119855222
GLA,Residential,965.9922251,0,1,0.000169492,0,0,0,0.000508475,0,226,196,5115,785,0.866949153,5900,Arabic,165,0.03,Russian,80,0.01,Korean,70,0.01,0.030847458,0.066101695
MRT,Residential,1056.863611,0,0,0,0,1,0,0.000309837,0,"5,827.00","5,926.00",5505,7405,0.426413633,12910,Punjabi (Panjabi),4240,0.28,"Tagalog (Pilipino, Filipino)",720,0.05,Urdu,470,0.03,0.025329202,0.043841983
NHV,Residential,932.5320245,0,1,0.000425532,0,0,0,0.000851064,0,846,841,2195,155,0.934042553,2350,Mandarin,35,0.01,"Tagalog (Pilipino, Filipino)",25,0.01,Burmese,15,0.01,0.018723404,0.035744681
QLD,Residential,727.3227022,0,1,0.000220994,0,0,0,0.000662983,0,"2,187.00","2,480.00",4170,355,0.921546961,4525,"Tagalog (Pilipino, Filipino)",70,0.01,Oromo,55,0.01,Cantonese,45,0.01,0.014364641,0.033149171
RDL,Residential,2162.453659,0,1,0.000623053,0,0,0,0.001246106,0,"3,820.00","3,786.00",1545,60,0.962616822,1605,Mandarin,15,0.01,Cantonese,15,0.01,Persian (Farsi),10,0.01,0.02305296,0.051090343
RCK,Residential,1250.994372,0,1,0.000297619,0,1,0,0.000595238,0,860,933,2520,840,0.75,3360,"Tagalog (Pilipino, Filipino)",235,0.07,Tibetan,75,0.02,Arabic,60,0.02,0.064583333,0.190178571
KIN,Residential,877.3986917,0,1,0.000225225,0,0,0,0.00045045,1,"3,974.00","4,067.00",3400,1040,0.765765766,4440,"Tagalog (Pilipino, Filipino)",215,0.05,Korean,130,0.03,Spanish,120,0.03,0.076126126,0.222072072
RAN,Residential,793.8559598,0,1,0.000138217,0,0,1,0.000552868,0,"3,188.00","3,233.00",6120,1115,0.845888044,7235,Spanish,185,0.02,"Tagalog (Pilipino, Filipino)",105,0.01,Romanian,75,0.01,0.014374568,0.034830684
